Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
,6,"Nelson Rada","LAA","CF","AAA",2026,"45","Med",,"20.9222222","5' 8""","160","L","L",2022,"Intl15","LAA",1850000,"Venezuela","The Angels are not afraid to throw their minor leaguers into the deep end, and nobody in recent memory has been dealt a tougher assignment than Rada. Fresh off of conquering the Cal League as a 17-year-old in 2023, the team challenged its top position player prospect with a two-level jump to Double-A. Physically overmatched, Rada struggled mightily in the first half and had to battle his way to a .600 OPS by season’s end; the whole episode ignited a debate about the risks and merits of putting your best farmhands through a trial by fire. Fortunately, Rada seems to have emerged no worse for wear. He hit his way out of Rocket City last summer and then notched a very impressive .323/.433/.416 line across 42 games in Salt Lake. Just 20 years old now, Rada is on the cusp of the big leagues and could debut as soon as this spring. 
Rada’s game is simultaneously mature and underbaked. Physically, he’s undersized for his surroundings, and his 90th-percentile exit velos are on the 20/30 line. Even if he finds his way to a little more juice, he’s going to be a singles hitter. His approach and the quality of his at-bats belie his young age, though. His 75% contact rate isn't great on its own, but it's more than acceptable in context, and both visually and statistically, his swing decisions reflect a seasoned approach and advanced feel for the strike zone. His bat isn’t particularly fast and I have reservations about how long the path is, but it’s otherwise a connected swing, and he’s making enough contact to get the benefit of the doubt for now. 
Defensively, Rada is a plus runner and defender who has been making highlight-reel plays in the outfield since he came stateside. He will occasionally misplay a ball in a way that reminds you “oh yeah, he’s still 19,” but in general his breaks off the bat and his ball-tracking skills are what you look for in a plus center fielder. The only long-term concern is his size, as Rada has matured early and he’s a little thicker than your typical plus runner. That doesn't mean he can't sustain his wheels over the long haul, but it is something to keep in mind. 
One other aspect to monitor: his baserunning. Rada runs early and often, and again swiped more than 50 bags last season. He’s more of a prolific thief than a proficient one, however, as he again was caught about a quarter of the time, south of the break-even point. It would be a real boon for his game if he can find a way to maintain something near that volume while cutting down on the number of outs. 
The lack of power here likely makes Rada more of a fourth outfielder or second-division starter than a contender’s regular. It’s possible to play productively every day with 30 power, but it’s increasingly difficult in today’s game. That would look something like hitting .270 and taking a few walks while playing plus defense — in the realm of possibility, if tricky to maintain year over year. I’d bump Rada to a 50 if I felt more confident that he had a path to 40 raw, but he looks pretty close to physically maxed out to me. If he exceeds this projection, there’s a good chance it’s because I'm wrong about that last point.",,"sa3018421"
,6,"Ryan Clifford","NYM","RF","AAA",2026,"45","High",,"23.0194444","6' 3""","230","L","L",2022,"Draft","HOU",1260000,"Pro5 Baseball Academy (NC)","Clifford was ranked 57th on the 2022 Draft Board as an advanced, big-framed LF/1B prospect who looked very athletic in the batter's box and not so much on defense. It took just over $1.25 million for the Astros to keep him from heading to Vanderbilt, and he lit Low-A on fire to start 2023 and was promptly traded to the Mets as part of the Justin Verlander deal. In 2025, he slugged his way to Triple-A Syracuse by clobbering 24 Double-A homers in just 105 games. 
Clifford's dangerous lefty power has fueled an average of 24 homers in each of his three full seasons as a pro. He consistently hits the ball hard (56% hard-hit rate in 2025) and has enough juice to leave the yard to all fields when he gets a mistake he can handle. He also shows the ability to move the barrel around the bottom two-thirds of the zone, and he cuts his stride with two strikes. He's a good rotational athlete with a high-effort swing; Clifford's footwork has simplified over the years, but he still hauls off hacks, often losing track of the baseball. It's possible the changes to his footwork have helped him to stay on time against fastballs better; he hit .194 against them in 2023 and 2024 combined, then .230 against them in 2025. That isn't great, and Clifford will probably always swing underneath his fair share of elevated fastballs, but it's playable. 
On defense, Clifford has played a mix of first base and both corner outfield spots. He isn't a great ball-handler at first and is a better fit in the outfield, though the departure of Pete Alonso perhaps makes him more likely to debut on the infield. He's going to strike out a little too much to profile as a first-division hitter at the lesser corner positions, but he should still be a righty-mashing platoon bat who plays a valuable role, à la Lucas Duda.",,"sa3020126"
,6,"AJ Gracia","ATL","LF",,2028,"45","Med",,"21.75","6' 3""","215","L","L",2026,"Draft","ATL",4000000,"Virginia","Gracia is a strapping, broad-shouldered 6-foot-3 center fielder with big league physicality and a great two-year track record of hitting at Duke prior to his draft year transfer to Virginia, where he hit a career-best .354/.489/.632 with 30 extra-base hits. A gorgeous and very comfortable low-ball lefty swing produces nearly average all-fields power for Gracia, who might not be done growing into his raw thump. He has excellent plate coverage, and will hit the baseball where it's pitched and do damage to all fields. Gracia's selectivity and hand-eye coordination allow him to move the bat around the hitting zone with uncommon feel for such a big, long-levered hitter, and he posted comfortably plus contact rates in 2025 and 2026. Still, he doesn't have huge raw juice and didn't take a step forward in this regard in 2026 as was hoped entering the season.
Gracia isn't a burner, but his feel for defense is good. He's comfortable going back on balls hit over his head and looks smooth at the catch point, but he simply doesn't have the straight line speed of a typical center fielder. He also has such a poor arm that there are plays where he is a liability. There are some clubs that see Gracia as a decent center fielder with a well-rounded offensive skill set, and others that see him as a left field-only fit without the power typical of an impact player at that position. As such, he fits in the latter half of the first round.",,"sa3032552"
,6,"Nestor German","BAL","SP","AAA",2027,"45","Med",,"24.4194444","6' 3""","225","R","R",2023,"Draft","BAL",150000,"Seattle University","German is seeking to become the first big leaguer from Seattle’s Chief Sealth High School since Keone Kela. The big right-hander gained a ton of velo between his time in high school and when Baltimore plucked him out of Seattle University, and he has picked up another couple ticks in pro ball. Already a pretty good strike thrower, the velo uptick sharpened his secondaries, and in short order transformed German from a generic Day 3 draft pick into a legitimate starting pitching prospect.
German is a tall, broad shouldered lad with an innings-eater’s build. More powerful than fluid, he still has the body control and short arm action of a starter. Like many hurlers in this system, he’s a downhill thrower with a high slot, above-average extension, and a lot of vertical break on his fastball. He sat 92-94 and touched 98 with it last season while reliably pumping strikes to both sides of the plate. All four of his secondaries missed bats, and the various ways they run and dip gives him a well-rounded movement profile. German doesn't have a monster out pitch — the split comes closest — but there are platoon-neutralizing traits here and enough ingredients to get through a lineup multiple times. 
German has not quite been the best version of himself this year. He’s been uncharacteristically wild and his fastball has sat 91-93 in recent starts, down a couple ticks from where he was most of last season. While something to monitor, at this point both the magnitude and duration of the rough patch is mild enough to keep his forecast in line with where we were on him at the end of last season, when he posted a 3.93 ERA with 10.41 SO/9 and 3.35 BB/9 while averaging about five innings per start at the upper levels. Evaluators bullish on his control or command may shade him up to a no. 4 grade, while those concerned enough about his trajectory in 2026 might reasonably round down the other direction. Our projection splits the difference.
",,"sa3023517"
,6,"Kruz Schoolcraft","SDP","SP","A",2030,"40+","High",,"19.275","6' 8""","229","L","L",2025,"Draft","SDP",3606600,"Sunset HS (OR)","In a draft where they didn't have much financial flexibility, the Padres placed their big bet on the gigantic lefty from Portland, Oregon, signing him for just over $3.6 million. Schoolcraft is a slow-twitch athlete with long levers, and while his delivery looks smooth and under control, he’s having a hard time finding a consistent release point in the early going. Following a rough spring, he’s walked 10 in his first 7.1 innings, and at times looks like he’s aiming the ball.
On stuff, you can see how Schoolcraft was a first-round pick. He’s up to 97 with above-average extension on his fastball, and he flashes two projectable secondaries in the slider and change. He’s slowing his body on the latter two at the moment, and the breaking ball in particular looks too slow in its current form. The shapes of both are promising, and there’s plenty of runway to improve his arm speed and find a better release. Evaluators who have seen him this spring are mixed on the ultimate upside, but everyone’s aligned that Schoolcraft is a long way from his ceiling. There’s mid-rotation upside and a ton of reasons to stay patient as he tries to find his footing. I don't think the ceiling is any lower than it was when he was drafted, but in a nod to the road ahead, I've dropped him a value tier for now.","r_flwO6-M1o","sa3069203"
,6,"Cole Prosek","CHW","C",,2030,"40+","Med",,"19.1194444","6' 1""","195","L","R",2026,"Draft","CHW",,"Magnolia Heights HS (MS)","Prosek was one of the better surface-level performers on the high school showcase circuit, as he slashed .356/.447/.494 in 103 combined plate appearances tracked across 2024 and 2025. For an athlete of medium build, Prosek packs a pretty good punch. He creates tension between his hips and his hands that produces gap-to-gap doubles power, and he moves the barrel around the hitting zone with advanced feel, targeting fastballs. He's so dead set on hunting heaters that Prosek chased them at an abnormally high rate as an amateur, including some up at his chest. It's the only flimsy portion of an otherwise stable and balanced, if unspectacular, offensive profile. On defense, Prosek has had reps on the infield, in the outfield, and at catcher. His best chance at profiling as an everyday big leaguer comes behind the plate, where his skill set as a hitter would more comfortably clear the major league bar. Prosek has the arm for it, but he's a developmental project in the other areas.",,
,7,"Wilder Dalis","COL","2B","A",2028,"45+","High",,"19.9916666","6' 1""","198","S","R",2023,"Intl15","COL",70000,"Venezuela","Dalis was a young, small-dollar signee who had a rough debut season in 2023, which has made his subsequent development at the plate a pleasant surprise. In his first stateside season, the Venezuela native mauled the complex and then held his own over two months at Low-A Fresno, where he posted a league-average line as an 18-year-old. He’s an athletic kid with quick hands and a whippy swing, and he has a puncher’s chance to turn into a low-end five tool player. 
Dalis is a switch-hitter with similar swings from both sides of the plate. He has a lofted cut and direct path, with some ability to flatten the barrel on balls up. As it is for many his age, spin is a problem, and the way he pulls off the plate limits his ability to cover the outer half slightly. These are relatively minor quibbles for a teenager with above-average bat speed and bat-to-ball skills, though. 
Defensively, Dalis has bounced all over the infield as a pro, and a future at shortstop isn't out of the question. He has the actions and range of a middle infielder and just enough arm for the left side of the diamond. The safest guess is that he winds up at second, but if given 10 chips and an assignment to place bets on his ultimate home, I’d have tokens on all three spots. 
Dalis was a standout this spring. In our looks, he took good at-bats, showed the capacity to make adjustments, and demonstrated that he can square up a good fastball above the belt. More tangibly, after posting a max exit velo of 108 mph last year, he hit a few balls that hard or close to it in the handful of at-bats we observed. It’s early, and caveats about going nuts on spring training looks apply to minor leaguers too, but the arrow sure looks like it’s up here.",,"sa3022347"
,7,"Keyner Benitez","MIA","SP","A",2027,"45+","High",,"20.1777777","6' 1""","195","L","L",2023,"Intl15","MIA",225000,"Dominican Republic","All pitching injuries are a bummer, all the more so when a talented arm seems to be figuring things out and is on the precipice of making a big leap in his career. Such was the case with Benitez, who was off to a fast start in the Florida State League before he was removed from a start in early May. He soon underwent arm surgery and will miss the remainder of the season. 
Prior to the injury, Benitez was dealing. His velo was up a tick this year, comfortably 92-95 and touching 97 with his sinker. Both his slider and change have late depth and were nearly impossible for Low-A hitters to handle. It’s unusual for a young pitcher to have good feel for both a change and a breaking ball, and the former’s development in particular is a notable year over year progression: The swinging strike rate on the pitch jumped from 15% to 22%, and the chase rate exploded, from 23% to 36%. 
If Benitez is able to return with his stuff intact, he'll instantly be a Top 100 candidate. This is a well-built lefty with at least average arm strength and two secondaries that project plus or better. His delivery is a little gumby-ish, and like seemingly every pitcher in this org, his arm path is on the long side for a starter. But while Benitez isn’t a marksman, he isn't wild either, and it wouldn't be shocking if he threw more and better strikes as he gains experience. The injury is a blow, but this remains one of the best arms in the system and he’s a high-interest follow in 2027.",,"sa3021795"
,7,"Bishop Letson","MIL","SP","AA",2029,"45+","High",,"21.8666666","6' 4""","170","R","R",2023,"Draft","MIL",482600,"Floyds Knobs Central HS (IN)","Letson sort of flew under the radar as a Purdue commit until he cracked 90 mph at Super 60 (a winter indoor workout and showcase for Midwest high school prospects) in his draft year. He signed for nearly half a million dollars in the 11th round as little more than a compelling mix of raw ingredients, but he developed enough over the next two years that he might be a Top 100 prospect right now had he not missed so much of 2025 with a shoulder injury. 
Lanky, whippy and still projectable at 6-foot-4, Letson gets best-in-baseball extension at over seven-and-a-half feet, which adds a couple of perceived ticks to his heater. Because he pedals so far down the mound, he also has a low release height, creating bat-missing uphill angle on his tailing fastball. Off of that he bends in a low-80s sweeper that frequently shows plus action and plays as a back-foot weapon against lefties. Deeper in Letson's arsenal are a cutter and changeup, both of which are crude and need the reps he lost to injury in 2025. This mix gives Letson pitches that finish in all four quadrants, and if he makes good on his physical projection and ends up throwing harder as he matures, he'll have multiple plus pitches. 
This is a limber, loose-bodied athlete with lots of room on his frame for more strength without losing any mobility. Letson will be a Pick to Click for us this offseason, a player who we expect will enter the Top 100 during the next 12 months, but because he's only thrown about 100 total innings across two pro seasons, we're not ready to windmill slam him into that stratosphere right now. He has All-Star upside, but is still mostly a developmental prospect.","jPRMxSzR_Qs","sa3023526"
,7,"Alejandro Rosario","WSN","SP","AA",2027,"45+","High",,"24.5583333","6' 1""","182","R","R",2023,"Draft","TEX",437900,"Miami","A very famous prospect since his high school underclass days, Rosario’s mid-to-upper-90s fastball used to miss frustratingly few bats because of its shape. He ran an ERA over 7.00 during both his sophomore and junior year at the University of Miami despite sitting 95-96 mph with a plus slider and splitter. The Rangers quickly overhauled Rosario’s delivery, most notably his arm slot, which became much more vertical than when he was an amateur. It totally changed the way his fastball played without sacrificing his arm strength or the quality of either secondary pitch, and it also improved his command, as his line to the plate became much more direct and comfortable-looking than when he was in college. In a 2024 split evenly between Low- and High-A, he posted a 36.9% strikeout rate, a 3.7% (!) walk rate, and a 2.24 ERA across 88.1 innings. 
Not long after the 2025 Top 100 list came out (Rosario was ranked 39th), the Rangers announced that he would need elbow surgery, though the exact timing of his injury was left vague. Months later it was reported that he still hadn't had surgery, with Evan Grant of the <em>Dallas Morning News</em> saying the Rangers and Rosario were “working through some unrelated issues.” Industry sources indicated to me at the time that he had a separate, non-baseball medical concern that had to be resolved before his elbow could be addressed. He still hadn't had surgery when he was traded to Washington in the MacKenzie Gore deal during the offseason, but a more recent report indicated he had surgery in March. Assuming a standard recovery from that point forward, he'll be back in early-to-mid-2027 having missed two whole seasons. 
The time off obviously creates a great degree of uncertainty about how Rosario will look when he returns, and the mysterious (and understandably private) nature of the issues that contributed to the delay in his TJ are even more difficult to account for when you're trying to line him up on a prospect list. But his look and performance in 2024 — mid-90s heat and three plus pitches, including a potentially elite splitter — reads a lot like Trey Yesavage’s scouting report. This year would have been Rosario’s 40-man platform season, and he’s a name to file away for the next Rule 5 Draft if the Nationals choose not to roster him after the season.",,"sa3023538"
,7,"Gabriel Rodriguez","CLE","SS","A",2029,"45+","High",,"19.2333333","6' 1""","175","L","R",2024,"Intl15","CLE",500000,"Venezuela","The Guardians' 2025 extended spring training and complex level group was chock full of toolsy and interesting position player prospects, and the one with the most complete profile is Rodriguez, a high-waisted, 6-foot-1 shortstop with plus defensive actions and a sexy low-ball swing. 
Rodriguez slashed .294/.393/.402 in a 28-game season shortened by a hamstring injury. He has a shot to do a little bit of everything, including play a quality big league shortstop. His quick, comfortable actions and feel for making accurate, off-platform throws allows for cozy long-term projection at the position even as he fills out. And Rodriguez filling out is an exciting proposition because with several other offensive ingredients — on-base skill, contact feel — already in his pantry, there are a few different ways to cook up an everyday shortstop once you start sprinkling in some power. The finish of Rodriguez's best swings evoke Ken Griffey Jr. in silhouette, and he's geared for golfing low pitches in this manner. His swing can get long at times because his bottom hand is doing the driving, but Rodriguez has shown feel for altering his posture to flatten his path and get on top of higher fastballs, which he sprays the other way. 
Whether that will continue against upper-level velocity is uncertain. Rodriguez's problem right now is that he's often a little late to the contact point due to his lever length, something that will hopefully be remedied by added strength, which should allow him to shorten up. He drives the ball into the ground a little too often to make a real offensive impact, and if that continues, then his overall output could play below his talent level. We're probably not talking about multiple 60- and 70-grade tools here, but there are right-tail outcomes where Rodriguez is average or better at everything. Had he been a domestic high schooler last year, we think he would have been a mid-to-late first round pick, and this FV grade reflects that. He's a potential everyday shortstop who is still several years away.","lxhBOq-2aw4","sa3024645"
,7,"Ramon Marquez","PHI","SP","A+",2028,"45","High",1,"20.8555555","6' 2""","185","R","R",2025,"Intl15","PHI",10000,"Mexico","Marquez signed out of Mexico for $10,000 and raced to full-season ball six months after he signed while becoming one of the better pitching prospects in the Phillies system. He dominated complex ball in Florida for 10 outings and was elevated to the full-season roster in Clearwater for the season's final month, altogether posting a 1.25 WHIP and striking out 72 batters in 55 innings. 
Marquez throws hard for his age, albeit with downhill plane and movement that makes it vulnerable to contact. His best pitch, and maybe the best individual pitch in the system, is a Bugs Bunny changeup that generated an elite miss rate (just over 60%!) last season. It has an absurd amount of sinking and tailing action, and is absolutely the kind of pitch that could spearhead a relief profile on its own. Marquez also has a fringy slider that sometimes has a cutter look and velo, and he might be suited to have an explicit cutter rather than the hybrid look of his current breaker. 
Though Marquez threw a starter's rate of strikes in 2025 and looked comfortable as he was stretched out to work four and five innings per outing later in the season, his delivery has a head whack so grotesque that David Cronenberg would consider it excessive. It's rare for pitchers whose deliveries look like this to remain starters, and perhaps Marquez's fastball will need the boost from shorter-outing deployment to be effective. Even if these issues prove meaningful, Marquez would still be a great pickup for his price tag as a changeup-merchant reliever.",,"sa3067514"
,7,"Esmerlyn Valdez","PIT","LF","MLB",2026,"45","High",,"22.5","6' 2""","240","R","R",2021,"Intl15","PIT",130000,"Dominican Republic","Valdez is a selective power bat who had a breakout 2025 as he cut his strikeout rate from 30.6% to 24.6%, posted his second consecutive 20-homer campaign, and went nuclear in the Arizona Fall League, earning himself a 40-man roster spot in the process. So far in 2026, he has again cut his strikeout rate (to 21% as of this update) while his walk rate has continued to inch within arm's length of his K%, and he's producing comfortably above the Triple-A average at age 22. 
Valdez has excellent plate discipline and shows no splits of suspicion that might indicate he's simply passive. He’s a selective hitter; he's doesn't expand a ton with two strikes or against breaking balls, and he also attacks pitches in the heart of the plate. This helps weaponize Valdez's dangerous all-fields power against pitches in the lower two thirds of the strike zone. He has enough juice to go deep to the opposite field gap, and when he isn't crushing mistake breaking balls, he's hooking a lot of them down the third base line for potential doubles. 
What is different early this year compared to Valdez's 2025 look is that he's more frequently late against fastballs than before. This guy has noisy hands. That was also the case last year, but it was less of an issue. He's swinging underneath a lot of fastballs right now, often enough that it's tough to move his previous hit tool projection even though his strikeouts are trending down for a second straight year. Plate discipline isn't a solution to an in-zone hole versus fastballs. But he's still going to slug and reach base enough to be a decent five- through seven-hole hitter at peak. 
Valdez's overall impact will be hindered by his defense, as he is rather slow and not always comfortable at the catch point. He's been tentative fielding balls on the ground since one got through him a few weeks ago, at times slow enough to concede extra bases. He's not unplayable out there, but he is the kind of guy who you'd like to have a defensive replacement for. Valdez recently made his big league debut and was quickly sent back down. If he keeps hitting at Triple-A, he'll have earned himself a longer look.","SDtwE31ReQw","29005"
,7,"Henry Godbout ","BOS","SS","A+",2029,"45","High",,"22.725","6' 2""","190","R","R",2025,"Draft","BOS",1090000,"Virginia ","Godbout was one of several Red Sox draftees last summer who were selected later than where Eric had them valued in his draft preview. He was ultimately taken 75th overall and signed for a little over $1 million on the strength of his hit tool and glove at second base. This is the odd duck where, in ways good and bad, the player Brendan saw on tape looks a little bit different than he expected based on his reputation. 
Let’s start with the hit tool. While Godbout raked at Virginia, the way he goes about his business is unusual. This is a case where nearly unassailable data runs into a more complex visual evaluation. Statistically, he’s performed everywhere, and is again hitting well in High-A, where he has a 123 wRC+ with a 13.1% walk rate and a 19% strikeout rate. He’s good at catching the ball out front — he’s almost exclusively a pull hitter — and efficiently delivering the barrel to the zone, particularly in the lower half. The way Godbout gets to all of that is atypical, though. He has a funky setup where he barely bends his knees, arches his neck forward, has very little hand load and a bit of a bat wrap, and then drifts forward with an elevated front leg. The operation looks stiff, and we have enough concerns about elevated fastballs eating into the elite contact rates he’s posted thus far to round down on the hit tool.
While Godbout was widely seen as a second base-only prospect, the Red Sox have rolled him out at shortstop at High-A. So far, so good. Godbout doesn’t have elite athleticism or a howitzer on his right shoulder, but he fields what he reaches, makes plays at the edge of his range, and tends to get the ball where it needs to be on time. His arm looks solid average on tape. The defensive valuation here is aggressive given his history, but we see enough to project him as an average defender at short. If he’s both a shortstop and a pretty good hitter, he’s not just going to be an everyday guy but a very solid one. We'll take the under, slightly. For now, he projects as a second-division starter or quality utility guy with a path to more.",,"sa3032331"
,7,"Cameron Flukey","DET","SP",,2029,"45","High",,"21.2888888","6' 6""","210","R","R",2026,"Draft","DET",,"Coastal Carolina","Flukey is a lanky 6-foot-6 righty who held mid-90s velocity across 101.2 innings in 2025, culminating in a great start against LSU in the College World Series. He missed the first couple months of 2026 due to a stress fracture in his ribs, but looked normal when he returned in late April. His 12-to-6 curveball has nearly 20 mph of velocity separation from his fastball, and even though that pitch looks easy to spot out of hand, it has enough depth that it generated a plus-plus miss rate in 2025, then more of an above-average rate in 2026. 
Flukey's fastball and curveball represented 84% of his pitch usage the last two seasons, but his slider (which averages 84 mph) and changeup are both effective when he throws them. Flukey's slider acts as a strike-garnering pitch (he's thrown his fastball for strikes more than 70% of the time), while his changeup was flashing bat-missing tail late in 2025 (he barely threw it upon his return from injury this year). He has a longer, fairly violent arm action, and there were games when Flukey struggled to get any miss on his fastball because his size imparts hittable downward angle on the pitch. Flukey slides toward the back of the group of pitchers who could conceivably go in the first round now that he's dealt with injury and his pitch mix hasn't progressed. He's a high-upside/buy-low option for a team picking late in the first.",,"sa3031493"
,7,"Winston Santos","TEX","SP","AAA",2026,"45","Med",-1,"24.2833333","6' 0""","180","R","R",2019,"J2","TEX",10000,"Dominican Republic","Despite good size and plus athleticism, Santos was just a $10,000 signee in the 2019 international class. Even with plus arm strength, he’s risen unevenly through Texas’ system, amidst the pandemic and an extended search for a viable breaking ball. He’d found one by the spring of 2024, and with a much-improved slider in tow, he dominated High-A that summer. He then looked like a potential mid-rotation guy at times in the spring of 2025, but missed most of last year with a stress reaction in his back. He returned in time for the Fall League, where his velo was intact and he struck out more than a batter per inning.  
Santos has an enviable blend of velocity, changeup quality, and athleticism. He comfortably sits in the mid-90s with a little tail and can bump the heater up to 99 without much obvious exertion. It doesn't have great shape, and perhaps he should throw it a little less. He has alternatives, as his slider has taken big strides since his days as a raw-but-projectable righty, and it now projects as an above-average offering, as does his change. 
Last year, hitters whiffed a bunch but tended to hit Santos hard when they did make contact. He can be loose within the zone — his delivery is smooth, easy, and clean with the exception of a moderate head whack — and he doesn't consistently execute his secondaries. I'm optimistic those things will get better. After all, Santos is a good athlete, and he’s shown an aptitude for improvement throughout his minor league career. And even if he does prove a little too hittable in the rotation, the arm strength and power arsenal should play toward the back of a big league bullpen. He was a late addition to our Top 100 — I liked him a bit more than Eric if y’all want to make fun of one of us later on — and he projects as a no. 4 with upside for more if his execution takes a big step forward with continued reps.","1d751lveIak","28489"
,7,"Kane Kepley","CHC","CF","A+",2029,"45","Low",,"22.4527777","5' 8""","180","L","L",2025,"Draft","CHC",1400000,"North Carolina","Kepley transferred to UNC after two years at Liberty and had more walks than strikeouts in all three years of college. He has the skill set of an old school leadoff hitter, with blazing speed and catalytic qualities on offense, such as (almost excessive) patience and plus contact ability, but he probably doesn't have enough power to be a first-division player. Kepley had an 89% contact rate at UNC in 2025 and an 83% mark after the draft, with a rate closer to 80% so far in 2026. He like to poke pitches down and away from him back through the middle and to the opposite field. That's not to say Kepley is a slap-and-dash hitter; his wrists are strong through contact, and his flexible lower body helps him generate a bit more pop than his little frame might otherwise be capable of. While these attributes help Kepley to consistently hit the ball fairly hard, his lack of size does limit his top-end power, and he's more likely to be a doubles machine than any sort of home run threat. 
Kepley is a plus-plus runner who stole 45 bases in 49 attempts as a junior and will run a jailbreak 3.9 from home to first. He pretty easily has the range to play a great center field, and he plays with big effort and intensity, but his reads and routes are just okay. We've seen enough of Kepley against pro pitching to be more confident now than we were before the draft that he has big league physicality, and it's possible his prospect stock will track similarly to Sal Frelick's. But while this is an FV boost compared to Kepley's pre-draft grade, it still has him pegged as more of a classic part-time outfielder or second-division regular than a star.",,"sa3035293"
,7,"Cristian Mena","ARI","SP","MLB",2026,"45","Low",,"23.6","6' 2""","170","R","R",2019,"J2","CHW",250000,"Dominican Republic","A shoulder strain in June ended Mena’s season, just a week after he’d been called up from Triple-A Reno. He thus missed a golden opportunity to audition for a spot in the D-backs rotation, as seemingly everyone else on the staff soon succumbed to injury as well. Fortunately, he’s healthy again and should be back in Reno’s starting five to open the 2026 season. 
Mena’s profile is well established at this point. As an athletic guy with a clean arm swing, a big frame, and a deep arsenal, he has most of the ingredients you want in a starting pitching prospect. He has great feel to spin two breaking balls, and both he and the D-backs deserve credit for diversifying his mix after they acquired him from the White Sox prior to the 2024 season. 
Despite flirting with the upper 90s, Mena’s four-seam fastball isn’t a bat misser at all, and his two-seamer does not reliably generate groundballs. He needs to lean on spin more than most starters, and could perhaps benefit from using his breaking balls even more than he did in 2025, when he threw them a shade under 50% of the time. His change has also taken strides in recent years and flashes plus. Maybe Mena will be able to execute it more consistently when he gets out of the Pacific Altitude League. 
Shoulder and forearm strains have limited Mena to 29 starts over the last two seasons. Assuming those injuries are behind him, he should get a chance in the rotation sometime this coming season. He projects as a no. 4 starter long-term, though the spin-heavy nature of his game could push him toward the lower end of the innings volume we expect out of starters, as he tends to run deep counts.","llrpZ44a_wU","27974"
,7,"Bryce Mayer","HOU","SP","AA",2027,"45","Med",,"24.4611111","6' 3""","210","R","R",2024,"Draft","HOU",175812,"Missouri","Mayer didn't quite keep up the momentum that earned him Pick to Click status all the way through the 2025 season. His command wavered as he walked seven in 10.1 innings over his last three outings at Double-A, and he was essentially shut down on the development list at 87.2 innings on the year, roughly 28 frames more than he managed in his draft year/first season back from Tommy John surgery. But even as his command wilted down the stretch, Mayer's stuff still played at Double-A (71.2% contact rate) to a degree that would outstrip the expectations for a righty who sits 91-94 mph and lacks a reliable changeup.
The drop-and-drive nature of Mayer’s delivery lends a flat approach angle to a four-seamer with 17 inches of induced vertical break, and his slider and curveball have tight spin (both are over 2,600 rpm) and late action despite sitting in the low 80s. Even more powered-up righty supinators face platoon splits when heading to war against lefties with a four-seamer/curveball attack, and Mayer is no different. Assuming his midseason command returns, Mayer looks like a nice back-of-the-rotation find for a 16th-rounder with little collegiate success to his name, but until he lands on a changeup solution or starts throwing hard (and he never really has before), that’s also about his ceiling.",,"sa3025558"
,7,"Will Brick","TOR","C",,2031,"45","High",,"18.1416666","6' 2""","195","R","R",2026,"Draft","TOR",,"Christian Brothers HS (TN)","Brick reclassified from the 2027 class after he hit well with Team USA at the U19 World Cup in Japan. Though we have more limited and less reliable showcase data for him because he was facing a lot of 2027s during the last two years, the data we do have is very positive: an 83% contact rate on a projectable 6-foot-2 catcher. Brick moves the barrel around the zone well and his top hand drives his swing, giving him a shot to grow into a blend of contact and power. 
Brick has a ton of developing to do on defense. His crouch is high and his footwork is erratic, but he's an excellent athlete with a great arm, agility, and okay receiving considering his age and inexperience. Those blemishes don't add risk to his profile so much as they'll likely add time to his developmental journey. He looks like a guy who goes late in the first round.",,
,7,"Luke Stevenson","SEA","C","A+",2028,"45","Med",,"22.0138888","6' 1""","205","L","R",2025,"Draft","SEA",2800000,"North Carolina","As a power-hitting catcher with strong receiving skills, Stevenson was seen as a potential top-10 selection heading into his draft season. He slid to the 35th pick of the 2025 draft after swing-and-miss issues plagued his junior season and raised questions about the viability of his hit tool. 
Stevenson is trading contact for power. There are a lot of markers in his swing — the flatter path, still head, direct stride — that tend to correlate with hitting ability, and while he’s a bit vulnerable to spin, his advanced approach limits that to some degree. But there’s some length to the path, and Stevenson has just average bat speed (in the way that scouts have traditionally used the term). That fosters a power-and-OBP-over-hit profile, but there’s enough hand-eye and bat-to-ball skill to think it all could work. 
Defensively, Stevenson’s a good receiver with quiet and supple hands. His control of the running game is below average — his transfers are low and they aren't quick, and his throws can get a little scattered — but still playable, and the kind of thing that we can project improvement on. Cal Raleigh wasn't very good at this when he was drafted, either. 
Add it all up on both sides of the ball and you can see how this might work. Stevenson isn't a risk-free prospect and evaluators are split on his long-term upside; I'm a little higher on him than Eric. There’s a chance the bat speed gets exposed against elite stuff, but I don't think a .230/.300/.400 line with average or better defense is out of the question at maturity. That would be a 50, and if there’s any jump in Stevenson's throwing ability or bat-to-ball as he develops, he'll climb into that tier on subsequent lists.",,"sa3043081"
